date,amount,category,subcategory,description,merchant,transaction_type,user_id
2024-01-01,3170.1,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-01-02,5.82,Entertainment,Streaming,Movie tickets,Steam,expense,9
2024-01-05,5.59,Entertainment,Sports,Concert,Spotify,expense,9
2024-01-05,38.26,ATM Fee,ATM Fee,Thought soon.,"Kennedy, Scott and Robinson",expense,9
2024-01-05,48.53,Bank Fee,Bank Fee,Four career catch sign eye.,Zhang-Riley,expense,9
2024-01-08,14.05,Entertainment,Gaming,Subscription,Spotify,expense,9
2024-01-10,64.09,Transportation,Parking,Car payment,Honda Finance,expense,9
2024-01-12,49.6,Transportation,Gas,Car payment,Uber,expense,9
2024-01-13,8.55,Shopping,Clothing,Personal items,Walgreens,expense,9
2024-01-13,29.32,Other,Other,Happy your must friend.,Oliver PLC,expense,9
2024-01-14,44.79,Food & Dining,Restaurants,Grocery shopping,Whole Foods,expense,9
2024-01-15,3253.35,Salary,Salary,Monthly salary payment,Tech Corp,income,9
2024-01-15,18.35,Shopping,Personal Care,Retail shopping,Walgreens,expense,9
2024-01-15,12.39,ATM Fee,ATM Fee,Plan personal those race.,Ward Ltd,expense,9
2024-01-17,35.01,Food & Dining,Fast Food,Lunch,Safeway,expense,9
2024-01-17,21.56,Shopping,Home Goods,Personal items,Best Buy,expense,9
2024-01-18,1299.73,Housing,HOA Fees,Rent payment,Wells Fargo,expense,9
2024-01-18,26.12,Food & Dining,Coffee,Dinner,McDonalds,expense,9
2024-01-18,36.05,Bank Fee,Bank Fee,Base accept.,"Rodriguez, Young and Cruz",expense,9
2024-01-19,6.65,Entertainment,Sports,Concert,AMC Theaters,expense,9
2024-01-22,18.97,Shopping,Books,Retail shopping,Macys,expense,9
2024-01-24,102.19,Healthcare,Dental,Prescription,Kaiser Permanente,expense,9
2024-01-25,56.13,Transportation,Uber/Lyft,Parking fee,Honda Finance,expense,9
2024-01-26,1268.02,Housing,Property Tax,Mortgage payment,Wells Fargo,expense,9
2024-01-26,15.54,Shopping,Clothing,Retail shopping,Amazon,expense,9
2024-01-27,13.6,Shopping,Books,Personal items,Walgreens,expense,9
2024-01-28,8.04,Other,Other,Position to century home.,White Group,expense,9
2024-01-29,6.01,Entertainment,Streaming,Subscription,PlayStation Store,expense,9
2024-01-30,189.58,Utilities,Water,Internet bill,Water Company,expense,9
2024-01-30,36.37,Other,Other,Quality industry central.,Calderon-Chandler,expense,9
2024-01-30,6.71,ATM Fee,ATM Fee,Out many cup.,Logan Group,expense,9
2024-01-31,1365.04,Housing,Mortgage,Rent payment,Landlord,expense,9
2024-02-01,3269.6,Salary,Salary,Monthly salary payment,Healthcare LLC,income,9
2024-02-02,5.38,Entertainment,Gaming,Concert,Netflix,expense,9
2024-02-02,166.97,Healthcare,Pharmacy,Prescription,Kaiser Permanente,expense,9
2024-02-04,28.02,Bank Fee,Bank Fee,Past usually leg.,Lynch-Hill,expense,9
2024-02-05,38.47,Subscription,Subscription,Admit clearly return.,"Edwards, Scott and Johnson",expense,9
2024-02-10,1338.89,Housing,HOA Fees,Mortgage payment,Home Depot,expense,9
2024-02-10,21.22,Shopping,Clothing,Personal items,Walgreens,expense,9
2024-02-10,30.74,Shopping,Personal Care,Retail shopping,Best Buy,expense,9
2024-02-10,396.29,Travel,Flights,Vacation expense,Marriott,expense,9
2024-02-10,12.52,Bank Fee,Bank Fee,Week network.,"Collins, Faulkner and Conrad",expense,9
2024-02-11,35.41,Food & Dining,Groceries,Lunch,Uber Eats,expense,9
2024-02-11,125.73,Utilities,Phone,Electric bill,Verizon,expense,9
2024-02-11,11.08,Entertainment,Gaming,Movie tickets,Steam,expense,9
2024-02-12,5.81,Entertainment,Movies,Concert,AMC Theaters,expense,9
2024-02-13,41.94,Transportation,Car Payment,Gas fill-up,Chevron,expense,9
2024-02-13,6.66,Subscription,Subscription,Meet run ten.,Smith LLC,expense,9
2024-02-13,33.69,Bank Fee,Bank Fee,Red eight loss.,Rivera PLC,expense,9
2024-02-15,3299.86,Salary,Salary,Monthly salary payment,Finance Inc,income,9
2024-02-15,1596.74,Freelance,Freelance,Freelance project payment,Client A,income,9
